Countries,country_noc,offers_incentive,Gold,Silver,Bronze
 Australia,AUS,Yes,15000,11000,7000
 Azerbaijan,AZE,Yes,235000,117500,58750
 Brazil,BRA,Yes,49000,29000,20000
 Bulgaria,BUL,Yes,91008,72806,54605
 Canada,CAN,Yes,16000,12000,8000
 Denmark,DEN,Yes,15962,11971,7981
 Estonia,EST,Yes,117500,82250,52875
 Finland,FIN,Yes,59342,35605,23737
 Germany,GER,Yes,22000,17000,11000
 Great Britain,GBR,,0,0,0
 Hong Kong,HKG,Yes,642500,321250,160625
 Hungary,HUN,Yes,168000,126000,96000
 Indonesia,INA,Yes,346000,138500,69250
 Italy,ITA,Yes,213000,107000,71000
 Japan,JAP,Yes,45000,18000,9000
 Kazakhstan,KAZ,Yes,250000,150000,75000
 Kosovo,KOS,Yes,118683,71210,47473
 Liechtenstein,LIE,Yes,27602,22082,16561
 Lithuania,LTU,Yes,144793,72397,54238
 Malaysia,MAS,Yes,236000,71000,24000
 Morocco,MAR,Yes,225067,140667,84400
 New Zealand,NZL,,0,0,0
 Norway,NOR,,0,0,0
 Philippines,PHI,Yes,200000,100000,40000
 Russia,RUS,Yes,61000,38000,26000
 Serbia,SRB,Yes,71210,59342,47473
 Singapore,SGP,Yes,737000,369000,184000
 Slovakia,SVK,Yes,59342,47473,35605
 Slovenia,SLO,Yes,23737,20770,17802
 South Africa,RSA,Yes,37000,19000,7000
 South Korea,KOR,Yes,54767,30426,21733
 Spain,ESP,Yes,111562,56968,35605
 Sweden,SWE,,0,0,0
  Switzerland,SUI,Yes,44171,33129,22086
 Chinese Taipei,TPE,Yes,720000,251000,178000
 Thailand,THL,Yes,365150,219090,146060
 United States,USA,Yes,37500,22500,15000